,real_target,QS-Prediction,AS-Prediction
1298,depth perception : general,depth perception : a scoucou . : general,depth perception . he says animals can sense the distance of an object . animal perception : general . general : physiology
1299,paracoccidioidomycosis : symptoms,paracoccidioidomycosis : symptoms .,"asymptomatic lung infection . symptoms include fever, weight loss and malaise . bronchitis disease : physiology"
1300,hyperoxaluria : causes,hyperoxaluria is the cause of a sclerosis ,hyperoxaluria : physiology : causes physiologic : mechanisms physiologique : treatments : symptoms : diagnosis
1301,intracranial pressure : physiology,intracranial pressure : physiology . sys,cerebral perfusion pressure (cpp) . icp is a blood flow disorder . it occurs in the u.s. and europe .
1302,azotemia : treatments,azotemia is the most common disease in the world . ,azotemia . causes . symptoms . physiology . treatments : treatments . symbiosis .
1303,enthesopathy : general,enthesopathy : a symptom . .,enthesopathy . a general adolescent tendon syndrome . symptoms include a pulmonary fibrosis .
1304,citrullinemia : treatments,citrullinemia is a chronic disease . it can cause,"arginine, sodium benzoate and sodium phenylacetate . hepatitis c : treatments ."
1305,radial neuropathy : general,radial neuropathy : a . symptom .,radial neuropathy . symbiosis : physiology . hepatitis c : symptoms
1306,epiglottitis : symptoms,epiglottitis is a symptom of a fever ,"epiglottitis . symptoms include fever, throat pain, dysphagia|difficulty in swallowing ."
1307,ebstein's anomaly : general,[{'summary_text': "ebstein's anomaly is the most common in e"}],[{'summary_text': "ebstein's anomaly . symptomatic : physiology : causes . causes : cause  symbiosis - causes"}]
1308,neck pain : general,neck pain : a common symptom in a u.,neck pain : physiology : symptoms : causes . symptoms  san francis saxosis - causes
1309,drowning : prevention,drowning prevention : a symbiotic abiotic,[{'summary_text': "|alty : samaritans . hetland : the world's most adversity"}]
1310,hydroa vacciniforme : diagnosis,hydroa vacciniforme - a symptom .,perivascular lymphocytic infiltration . reticulated degeneration of the epidermis . symptoms : symptoms
1311,cestoda : general,cestoda : what is the u.s.?,eucestoda : physiology : causes physiologic : conditions . physiological maladies
1312,lesch–nyhan syndrome : general,lesch–nyhan syndrome is the most common symptom .,lesch–nyhan syndrome : physiology : causes physiological . physiologic systrophy : symptoms
1313,hypertensive encephalopathy : treatments,hypertensive encephalopathy : treatments . .,hypertensive stenosis . he says treatment should be supervised by a doctor . treatment should take two to six hours to complete .
1314,psychoacoustics : general,psychoacoustics : systomie :,psychoacoustics . interdisciplinary field of psychology and physiology . field of neurology : physiologie .
1315,steatocystoma multiplex : causes,steatocystoma multiplex : causes,keratin 17 : physiology : causes physiologic : cause physio : symptoms - causes - physiologie
1316,iliotibial band syndrome : general,iliotibial band syndrome : a symptom,"ilitotibial band syndrome . symptoms include adduction, hip flexion . symptomatic arthritis : symptoms"
1317,sympathetic ophthalmia : treatments,sympathetic ophthalmia . treatment : treatments .,enucleation of the eye or evisceration . he says it is a good idea to treat a symptomatic eye injury .
1318,lateral medullary syndrome : treatments,lateral medullary syndrome : treatments for the disease .,lateral medullary syndrome . he says treatment focuses on relief of symptoms and active rehabilitation . histopathology : treatments
1319,adenoviridae : treatments,adenoviridae is a treatment for ade,adenoviral infection : treatments . experts say hepatitis c disease : treatment physiological physiology
1320,placental abruption : treatments,placental abruption : treatments . . click here,fetal coagulation : treatments . fetus . symbiosis : treatment
1321,common cold : prevention,common cold is the prevention . a randomized controlled trial .,cold virus : prevention - prevention : treatments : interventions : strategies . experts: treatments for cold eczema
1322,adie syndrome : general,adie syndrome : a sympathetic .,adie syndrome . causes : symptoms : causes . physiologic syndrome : physiology : general
1323,staphylococcal scalded skin syndrome : diagnosis,staphylococcal scalded skin syndrome : diagnosis,s. aureus syndrome . symptoms : diagnosis . diagnosis : diagnostic ephemeral sclerosis - diagnosis
1324,onchocerciasis : prevention,onchocerciasis is the most common cause of death .,onchocerciasis : prevention - prevention : treatments : interventions - interventions : intervention - action - intervention :
1325,peritonsillar abscess : treatments,peritonsillar abscess is a treatment for ,peritonsillar abscess . ent-surgeons prefer to "wait and observe" before recommending tonsillectomy .
1326,pigeon toe : treatments,pigeon toe toe : treatments for the disease ,in-toeing and minor symptoms . diagnosis : treatments . physiology . treatments : diagnosis . symptoms : symptoms
1327,cryptorchidism : physiology,cryptorchidism : physiology . .,"cryptorchidism : physiology : causes physiologic : treatments : symptoms : diagnosis: causes: causes, causes . : mechanisms"
1328,genu valgum : causes,genu valgum : causes of genus ,"genu valgum : physiology - causes physiologic - physiologies . causes: causes, symptoms, symptoms"
1329,sickness behavior : general,sickness behavior : a sympathetic disorder : general,sickness behavior : physiology - physiologie : general . physiologic disease : symptoms : causes physiological diagnosis
1330,proteinuria : treatments,proteinuria is a symptomatic disorder . it can cause,proteinuria : treatments physiology - treatments - physiotherapy . physiologic nephropathy
1331,priapism : symptoms,priapism symptom : symptoms of . .,ischemia|ischemic priapism . gangrene : physiology : causes . causes: causes
1332,dissociative identity disorder : causes,dissociative identity disorder : causes . elio,trauma-induced dissociation in did : physiology . symbiosis syndrome : causes
1333,postpericardiotomy syndrome : symptoms,postpericardiotomy syndrome : symptoms of . .,"post-pericardiotomy syndrome . symptoms include fever, pleuritis, pericarditis . complications include arthritis, petechiae ."
1334,lymphoma : symptoms,lymphoma symptoms : symptoms of a sclerosis ,"hodgkin lymphoma and non-hodgkins lymph . symptoms include anorexia, fatigue, fatigue . physiology"
1335,hyperammonemia : diagnosis,hyperammonemia is the most common disorder in the u.s,"types : physiology, physiologie : treatments . : diagnosis : symptoms : diagnoses :"
1336,progressive multifocal leukoencephalopathy : physiology,progressive multifocal leukoencephalopathy : physio,pml : physiology - physiotherapy : symptoms : causes . hepatitis c : treatments
1337,plasma cell leukemia : causes,plasma cell leukemia is the cause of a sclerosis ,monoclonal gammopathy : physiology : causes : symptoms : treatments : diagnosis – treatments – physiologie
1338,trichotillomania : symptoms,trichotillomania . symptoms are common in the uk,trichotillomania . symptoms include remission-like symptoms . symptomatic relapse : causes . causes
1339,grief : general,grief : a sympathetic coma .,[{'summary_text': "grief associated with death : physiology . a person's emotional response to loss : symptoms : causes"}]
1340,major depressive disorder : general,major depressive disorder : a sclerosis . .,"major depressive disorder (mdd) . causes include family history of the condition, chronic health problems . cause of death : causes"
1341,pulmonary venoocclusive disease : causes,pulmonary venoocclusive disease : causes of .,pulmonary veno-occlusive disease . eif2ak4 gene mutation : causes . causes : physiology
1342,phaeohyphomycosis : symptoms,phaeohyphomycosis : symptoms .,wildlife phaeohyphomycosis . he says symptoms are symptomatic . they say symptoms can affect physiology .
1343,soft-tissue sarcoma : symptoms,soft-tissue sarcoma . symptoms are common ,"soft-tissue sarcoma . symptoms include pain, soreness, abdominal pain . bronchitis : symptoms"
1344,carcinoma in situ : treatments,carcinoma in situ in situ . a randomized controlled trial .,[{'summary_text': "carcinoma ''in situ'' : treatments . physiologic symbiosis - treatments"}]
1345,hyperostosis : general,hyperostosis : asymptomatic . .,hyperostosis . symptoms : causes . causes : physiology . sclerosis : treatments . san francisco
1346,sclera : symptoms,sclera symptoms : symptoms of syphilis,yellowing of the sclera . hepatitis c : physiology : symptoms : causes
1347,transient tachypnea of the newborn : treatments,transient tachypnea of the newborn is the treatment .,tachypnea of the newborn : treatments . symbiotic tachypnosis . treatments: treatments
1348,krabbe disease : treatments,krabbe disease is a chronic disease . it can cause,infantile onset krabbe disease . symptoms : treatments physiology - treatments - may vary - physiologic -physiology
1349,hemarthrosis : general,hemarthrosis is the most common disease in the world ,hemarthrosis . a common hemophilia . symptoms include a swollen artery .
1350,brachydactyly : general,brachydactyly is the most populous city in the,brachydactyly : psoriasis . greek language : symptoms . symptoms
1351,dilated cardiomyopathy : treatments,dilated cardiomyopathy : treatments for the disease .,systolic heart failure : treatments . physiologic heart disease . treatments - treatments in general - physiology
1352,separation anxiety disorder : causes,separation anxiety disorder is a disorder that causes a disproportionate number of,separation anxiety disorder : physiological physiology : causes . physiologic behavioural disorder - causes : symptoms
1353,common variable immunodeficiency : symptoms,common variable immunodeficiency : symptoms of . .,hypogammaglobulinemia : physiology : causes . physiologic fibrosis : symptoms
1354,hereditary coproporphyria : symptoms,hereditary coproporphyria : symptoms .,"porphyria cutanea tarda . symptoms include abdominal pain, nausea, vomiting, diarrhea . symptomatic symptoms : symptoms"
1355,insanity defense : treatments,insanity defense is the treatment of a coma ,insanity : treatments - treatment : treatment . trauma : interventions : prevention : diagnosis : physiology
1356,mediastinitis : general,mediastinitis : a general . .,mediastinitis : physiology : causes physiologic : treatments . socioeconomics : symptoms
1357,nephrocalcinosis : general,nephrocalcinosis is the most common cancer .,nephrocalcinosis . he says it is a general symptom of renal parenchyma . histopathology : general
1358,pierre robin sequence : treatments,pierre robin sequence . a series of treatments are available ,nasopharyngeal gerd syndrome : treatments physiology - treatments - physiologies - diagnosis : treatment
1359,afterimage : general,[{'summary_text': "afterimage : 'what is afterimage? click here for more"}],illusory palinopsia : physiological . physiologic . afterimage . general : general
1360,leukopenia : diagnosis,leukopenia is a rare disease . it can cause,leukopenia : physiology : diagnosis . physiologic leukocytosis . diagnosis
1361,thrombotic thrombocytopenic purpura : physiology,thrombocytopenic purpura : physiology ,von willebrand factor cleaving clots : physiology : treatments physiologique . physiologic syndrome : causes
1362,postural orthostatic tachycardia syndrome : symptoms,postural orthostatic tachycardia syndrome : symptoms ,"orthostatic tachycardia . symptoms include acrocyanosis, blotchy, red/blue skin ."
1363,panic disorder : general,panic disorder : a sympathetic symptom .,panic disorder : physiology : symptoms : treatments : causes . socioeconomics : signs of panic : general
1364,acute kidney injury : symptoms,acute kidney injury symptoms : symptoms . euphoria,acute kidney injury : physiology : symptoms - symptoms : causes . physiologic sclerosis : treatments
1365,type 1 diabetes : physiology,type 1 diabetes . physiology : physiotherapy .,diabetes type 1 : physiology : causes . physiologic reversal of beta cells in pancreas
1366,organophosphate poisoning : physiology,organophosphate poisoning is a physiology . ,acetylcholinesterase . hepatitis c : physiology : causes . causes
1367,bilateral vestibulopathy : general,bilateral vestibulopathy : a symptom of a fever ,"bilateral vestibulopathy . causes problems in vision, hearing and motor coordination . symbiosis : physiology"
1368,kleine–levin syndrome : symptoms,kleine–levin syndrome : symptoms . click here for more information,kleine–levin syndrome : physiology - symptoms : symptoms . sociology : treatments : diagnosis
1369,retrovirus : treatments,retrovirus treatments : treatments . click here for more information .,antiretroviral drugs : treatments physiology : treatment physiologie . physiologic syndrome : therapies
1370,retained placenta : treatments,retained placenta . treatments are available in the uk ,ergometrine : physiology - treatments : treatments physiologique . ephemeral uterine contraction : prevention
1371,cracked tooth syndrome : treatments,cracked tooth syndrome is a common condition . it is referred to,tooth flexes . treatments aimed at preventing movement of the segments . tooth flexion : treatments . adolescence .
1372,spontaneous cerebrospinal fluid leak : causes,spontaneous cerebrospinal fluid leak . causes of spontaneous leak ,a spontaneous csf leak . aortic aneurysm and joint hypermobility . marfan syndrome : causes
1373,gulf war syndrome : symptoms,gulf war syndrome . symptoms are common in america .,gulf war : symptoms : treatments . experts: treatments to treat gwi : prevention : diagnosis
1374,graves' ophthalmopathy : diagnosis,[{'summary_text': "graves' ophthalmopathy : diagnosis of . "}],[{'summary_text': "graves' ophthalmopathy . diagnosis is based on ocular symptoms . he says diagnosis focuses on neuroimaging ."}]
1375,waardenburg syndrome : general,waardenburg syndrome : a symptom . a diagnosis,waardenburg syndrome . causes include a wide gap between the inner corners of the eyes . symptoms include telecanthus and dystopia .
1376,teratoma : physiology,teratoma physiology : physio . .,"teratomas : physiology : causes physiologic : treatments . sociology, sociology and sociology"
1377,sciatic nerve : symptoms,sciatic nerve symptoms : symptoms of a coma .,sciatica pain : physiology : causes . physiologic fibromyelitis : symptoms : treatments
1378,osteochondroma : symptoms,osteochondroma symptoms : symptoms of a coma,osteochondroma . symptoms include a hard immobile painless palpable mass . symptomatic symptoms : symptoms
1379,constriction ring syndrome : treatments,constriction ring syndrome is a chronic disease . .,limb contour deformity : treatments physiology : treatment . experts: treatment of utero deficiency - treatments
1380,dermatophytosis : general,dermatophytosis is the most common disease in the world,"dermatophytosis . scaly, itchy, circular rash . prevention and treatment : prevention ."
1381,chagas disease : symptoms,chagas disease symptom : symptoms of . a ,chronic chagas disease : physiology : symptoms : causes . socio-political syndrome : treatments
1382,megaloblastic anemia : diagnosis,megaloblastic anemia is the most common condition in the world ,vitamin b deficiency . he says diagnosis asymptomatic . diagnosis : diagnosis . epidemiology : treatments
1383,protein s deficiency : causes,protein s deficiency : causes of . .,protein s deficiency . chromosome 3 : causes . causes : physiology . sources: causes
1384,myelolipoma : treatments,myelolipoma is a rare disease . .,small myelolipomas . a doctor recommends surgical excision . the patient is able to see if he or she is a patient .
1385,systemic scleroderma : general,systemic scleroderma : a general .,systemic scleroderma . general : physiology : causes . physiologic syndrome : symptoms
1386,hypercapnia : general,hypercapnia : a sympathetic ,hypercapnia : physiology - physicology . physiologic syndrome : symptoms
1387,multiple myeloma : physiology,multiple myeloma : physiology and physio,multiple myeloma : physiology : treatments : causes  smoldering multiple marrow disease : symptoms
1388,food allergy : symptoms,food allergy symptoms : symptoms of a swollen nose ,"food allergies . symptoms include rash hives, angioedema . allergic reactions : causes . causes  symbiosis : physiology"
1389,anal fistula : treatments,anal fistula is a treatment for swollen,fistula-in-ano : treatments physiology : treatment physiologies - treatments : interventions . experts: treatments
1390,mouth ulcer : treatments,mouth ulcer treatment : treatments . a coma .,oral candidiasis : treatments physiology - treatments - physiotherapy - treatment . ephemeral septic ulcer : treatment
1391,ocular ischemic syndrome : symptoms,ocular ischemic syndrome . symptoms are common in general ,ocular ischemic syndrome : physiology : causes . socio-economic status - causes : symptoms
1392,congenital hyperinsulinism : physiology,congenital hyperinsulinism : physiology and physio,congenital hyperinsulinism : symbiosis . katp channel mechanism : mechanisms
1393,dehydration : diagnosis,dehydration is a condition that can cause severe bruit ,dehydration : physiologic physiology : causes . osmotic cerebral edema : symptoms
1394,inflammatory bowel disease : treatments,inflammatory bowel disease : treatments . u.s.,ileo-anal pouches : treatments - treatments : interventions . experts: treatments for inflammatory bowel disease ; treatments
1395,bacteremia : general,bacteremia is a common disorder . a general .,bacteria in the blood : physiology . bacteria : symptoms : causes : treatments : general
1396,oral submucous fibrosis : causes,oral submucous fibrosis : causes .,paan|paan masala and gutkha . causes include prolonged deficiency to iron and vitamin c . physiology
1397,beauty : general,beauty : a brief overview . click here for more .,beauty . he says he believes beauty is in the eye of the beholder . beauty : general hegemony .
1398,non-hodgkin lymphoma : symptoms,non-hodgkin lymphoma : symptoms ,non-hodgkin lymphoma . symptoms include lymphadenopathy|enlarged lymph nodes . syndrome : symptoms
1399,cornea : general,cornea : a symphony . .,"cornea is a transparent front part of the human eye . it covers the iris, pupil, and anterior chamber of eyeball . cornea : physiology"
1400,lymphangioma : physiology,lymphangioma : physiology . sy,lymphangioma circumscriptum : physiology : causes . physiologic disease : symptoms : treatments
1401,alveolar rhabdomyosarcoma : general,alveolar rhabdomyosarcoma .,alveolar rhabdomyosarcoma . sub-type of soft tissue cancer family . characterized by mesenchymal cells .
1402,alkaptonuria : physiology,alkaptonuria physiology : physiotherapy .,alkaptonuria : physiology : causes physiological : treatments : symptoms : diagnosis : diagnostics
1403,erythema multiforme : symptoms,erythema multiforme syndrome : symptoms of .,erythema multiforme majus : physiology : treatments . edematous papules : symptoms
1404,anemia : general,anemia is the most common symptom in the u.s.,general anemia : causes physiology . symptoms : cause physiologic . causes : physiologies . symbiosis : symptoms
1405,alcoholism : prevention,alcoholism is the prevention of a serious illness . .,alcoholism . prevention of alcohol abuse : prevention - prevention . sex abuse . health care : treatments
1406,farber disease : diagnosis,farber disease : diagnosis and diagnosis . u.s.,"farber disease . symptoms may include swollen lymph nodes . complications include vomiting, arthritis and xanthomas ."
1407,pilonidal disease : causes,pilonidal disease : causes of . .,pilonidal cyst : physiology - causes : causes . coccygeal fibrosis . causes
1408,appendicitis : general,appendicitis : a general overview of the append,appendicitis : physiology : symptoms : causes . hepatitism : treatments
1409,hospital-acquired pneumonia : physiology,hospital-acquired pneumonia : physiology . ,nosocomial respiratory infections : physiology : causes physiologic . physiological esophageal bacillia : cause
1410,maroteaux–lamy syndrome : diagnosis,maroteaux–lamy syndrome : diagnosis of . .,dermatan sulfate . mps-vi - a symptom - is a neurotransmitter .
1411,hiv-associated nephropathy : general,hiv-associated nephropathy : a general ,hiv adiopathic nephropathy . hepatosclerosis : causes . obstructive kidney disease : symptoms
1412,leptomeningeal cancer : symptoms,leptomeningeal cancer : symptoms . .,"leptomeningeal cancer . symptoms include nausea, vomiting, light-headedness . physiology of the brain : symptoms"
1413,ménière's disease : causes,[{'summary_text': "ménière's disease is a chronic disease . it can cause"}],[{'summary_text': "ménière's disease . causes of disease : causes . physiology / causes : physiologies . sources: causes"}]
1414,cutaneous leishmaniasis : symptoms,cutaneous leishmaniasis . symptoms : symptoms .,post kala-azar dermal leishmaniasis : physiology : diagnosis . physiologic leid arthritis : treatments
1415,slow-wave sleep : general,slow-wave sleep : a symptom of a fever ,slow-wave sleep . sws : physiology : general . experts . expert . specialist .
1416,mongolian spot : treatments,mongolian spot treatment : treatments . click here for more information,mongolian nevus : treatments - treatments : treatment - physiology - treatment . adolescence . diagnosis
1417,balkan endemic nephropathy : general,balkan endemic nephropathy : general .,balkan endemic nephropathy . aristolochic acid : causes . causes : physiology
1418,opsoclonus myoclonus syndrome : symptoms,opsoclonus myoclonosis syndrome : symptoms,opsoclonus . truncal and appendicular aphasia . symptoms : symptoms
1419,lassa fever : prevention,lassa fever is the prevention of a fever . .,lassa virus : physiology : treatments - treatments : prevention : interventions . socio-political
1420,chronic lymphocytic leukemia : diagnosis,chronic lymphocytic leukemia : diagnoses .,b-cell lymphocytosis : diagnosis physiology : diagnostic physiologie . socio-political lymphoma : diagnoses
1421,oculomotor nerve : general,oculomotor nerve : ocular . .,oculomotor nerve . it is derived from the basal plate (neural tube) of the embryonic midbrain .
1422,vaginal discharge : general,vaginal discharge : a symbiotic .,vaginal discharge : physiology - physiologie : causes . physiologic symbiosis : symptoms
1423,paragonimiasis : general,paragonimiasis is the most common disorder in the world ,paragonimiasis . causes causes : physiology . physiologic : causes . symptoms : symptoms
1424,acute chest syndrome : treatments,acute chest syndrome is a chronic condition . it is referred to,acute chest syndrome . bronchodilators : treatments . streptococcus pneumoniae .
1425,neonatal jaundice : symptoms,neonatal jaundice symptoms : symptoms of . .,neonatal jaundice . symptoms include hyperbilirubinemia . kernicterus : treatments . treatments
1426,inclusion body myositis : treatments,inclusion body myositis treatment : treatments . .,idiopathic inflammatory myopathies : treatments physiology - treatments - physiotherapy . adolescent fibrosis . treatments
1427,angiomyolipoma : general,angiomyolipoma is a syringe ,angiomyolipoma : treatments physiology - treatments - physiotherapy - treatment . sclerosis : diagnosis
1428,polyuria : diagnosis,polyuria is a common disorder . it can cause a,polyuria : diagnose physiology : diagnostic . apnea - diagnosis : diagnosis
1429,pituitary apoplexy : treatments,pituitary apoplexy : treatments . .,pituitary apoplexy . hepatitis c : treatments : treatment : interventions  experts: treatments
1430,pleuropulmonary blastoma : treatments,pleuropulmonary blastoma : treatments . .,[{'summary_text': "ppb : treatments - treatments : treatment . pediatrician's disease - treatment : diagnosis - diagnosis"}]
1431,niemann–pick disease : diagnosis,[{'summary_text': "niemann–pick disease : diagnosis of . 'near"}],niemann–pick disease . hepatosplenomegaly in infancy and profound central nervous system . disease : diagnosis
1432,pituitary adenoma : general,pituitary adenoma : a .,pituitary adenoma : physiology : treatments . symbiosis : diagnosis
1433,childhood arthritis : diagnosis,childhood arthritis diagnosis : diagnosis . a randomized controlled trial ,rheumatomyalgia : treatments physiology . treatments : diagnosis . diagnosis : treatment
1434,trichomoniasis : general,trichomoniasis is the most common disease in the world ,trichomoniasis : physiology : symptoms . sex disease : causes physiological diagnosis
1435,ventricular fibrillation : symptoms,ventricular fibrillation symptoms : symptoms of a . ,"ventricular fibrillation : physiology : causes . apex of the heart, ventricle, ventricular contraction : symptoms"
1436,psychosis : symptoms,psychosis symptoms : symptoms of a coma .,auditory hallucination : physiology : symptoms : causes . socio-psychological resurgence : treatments
1437,erectile dysfunction : symptoms,erectile dysfunction symptoms : symptoms . eti,ed : physiology : symptoms : causes . socioeconomic esophageal disorder : treatments
1438,reflex syncope : causes,reflex syncope : causes of a sclerosis .,vasovagal syncope : trigger : physiology : causes physiologic : mechanisms physiologique : treatments
1439,perinatal asphyxia : treatments,perinatal asphyxia . a symptom : ,adriana nebraska : pseudo . syria :
1440,peyronie's disease : diagnosis,[{'summary_text': "peyronie's disease is the most common symptom ."}],[{'summary_text': "peyronie's disease : physiology : treatments . physiologic fibrosis : diagnosis"}]
1441,hepatocellular carcinoma : symptoms,hepatocellular carcinoma is a common condition . .,"chronic liver disease . symptoms include jaundice|yellow skin, ascites|fluid in the abdominal cavity, coagulopathy ."
1442,bronchiolitis : symptoms,bronchiolitis is a chronic disease . it can cause,"bronchiolitis . symptoms include fever, rhinorrhea, cough, wheeze, tachypnea ."
1443,malignant peripheral nerve sheath tumor : treatments,malignant peripheral nerve sheath tumor : treatments . .,neurofibrosarcoma in an extremity . he says amputation of the extremity is a symptom of a disease .
1444,laughter : general,laughter is the answer to your questions . click here for more .,"laughter in humans : physiology : symptoms : causes . sociology, social, emotional : effects of psychiatric resuscitations"
1445,pachyonychia congenita : causes,pachyonychia congenita : causes .,pachyonychia congenita : physiology : causes physiological : mechanisms physiologic : treatments
1446,venous thrombosis : general,venous thrombosis : bowel disease .,a venous thrombosis . general general : physiology . hepatitis c : general
1447,tracheoesophageal fistula : general,tracheoesophageal fistula :,tracheoesophageal fistula . it is an abnormal connection between the esophagus and the vertebrate .
1448,subarachnoid hemorrhage : prevention,subarachnoid hemorrhage : prevention .,polycystic kidney disease : screening . hepatitis c : treatments : diagnosis : prevention : treatment
1449,drowning : general,what is drowning : a syringe .,drowning : physiology : symptoms : causes . socio-economic resuscitation : treatments
1450,lightning injury : prevention,lightning injury is the prevention of a serious injury . click here for,lightning injury : prevents : prevention : preventing a life-threatening injury . adolescent lightning : treatments
1451,factor vii : physiology,factor vii physiology : physiological . .,factor vii : theoretical physiology of the liver . hepatic fibrosis : physiologie
1452,barotrauma : general,barotrauma is a syria-,barotrauma : physiology : causes physiologic : symptoms : treatments : conditions physiologique ; causes
1453,rubella : general,rubella : what is rubella? click here for more information ,rubella : physiology : symptoms : causes . socio-economic ephemeral syndrome : general
1454,histoplasmosis : symptoms,histoplasmosis is a chronic disease . .,"hepatosplenomegaly, lymphadenopathy . ocular histoplasmosis : physiology"
1455,avian influenza : prevention,avian influenza is a common disease . it is common to,avian influenza virus : physiology : prevention - prevention – prevention : interventions . experts: prevention
1456,diastasis symphysis pubis : causes,diastasis symphysis pubis :,the symphysis pubis . a horse or a car accident can cause a traumatic injury .
1457,hyperventilation : general,hyperventilation : a systm ,hyperventilation : physiology : causes physiological : treatments . physiologic syndrome : symptoms
1458,venous thrombosis : treatments,venous thrombosis : treatments for the disease ,venous thrombosis . hepatitis c : treatments : treatment . vte disease : therapies
1459,neuroacanthocytosis : general,neuroacanthocytosis : a symptom ,neuroacanthocytosis : physiology : symptoms : causes . physiologic syndrome : treatments
1460,ectopic pregnancy : general,ectopic pregnancy : a symptom . .,ectopic pregnancy : physiology : symptoms : causes . socio-economic status of pregnancy - causes: causes
1461,thyroid dysgenesis : general,thyroid dysgenesis : a sympathetic disorder .,"congenital hypothyroidism : physiology : causes physiological : symptoms . sociology, sociology"
1462,herpes labialis : prevention,herpes labialis has been diagnosed with cancer . ,herpes labialis : prevention - prevention . l-lysine fever : treatments . treatments: treatments
1463,acid–base imbalance : causes,acid–base imbalance is the cause of a coma .,acid gain : physiology : causes . physiologic syndrome . causes : sources : mechanisms physiologies
1464,renovascular hypertension : treatments,renovascular hypertension . a sclerosis .,renovascular hypertension . helensis : treatments . treatments ? treatments? treatments : interventions . experts: treatments
1465,t-cell prolymphocytic leukemia : treatments,t-cell prolymphocytic leukemia :,t-cell prolymphocytic leukemia . chemotherapeutic treatments : treatments . symbiosis .
1466,clinical psychology : general,clinical psychology : a resurgence in the u.,clinical psychology . he says psychology focuses on psychological diagnosis . psychology : physiology . heaviness : general
1467,long qt syndrome : general,long qt syndrome : a symptom . .,"long qt syndrome . causes include repolarization of the heart . symptoms include hearing loss, hearing loss . physiology"
1468,neurogenic inflammation : general,neurogenic inflammation : a systoma ,neurogenic inflammation : physiology : causes physiologic : mechanisms physiologique : treatments : symptoms : diagnosis : general
1469,androgen insensitivity syndrome : treatments,androgen insensitivity syndrome is a chronic disease . .,ais . management . a symptom . treatment . no method . available to correct the malfunctioning androgen receptor protein .
1470,trigeminal nerve : symptoms,trigeminal nerve symptoms : symptoms of a coma,trigeminal neuralgia cluster headache wallenberg syndrome . he says stroke causes pain-temperature sensation from one side of the body .
1471,cholesterol embolism : causes,cholesterol embolism is the cause of a coma .,cholesterol embolism : physiology : causes . socio-political aorta : symptoms
1472,acute intermittent porphyria : symptoms,acute intermittent porphyria . symptoms of acute intermittent .,"porphyria : physiology : symptoms : diagnosis . diagnosis : treatments: treatments, treatments : general"
1473,cavernous sinus thrombosis : symptoms,cavernous sinus thrombosis symptoms : symptoms .,"acute, fulminant disease : physiology : symptoms - symptoms : causes . san francisco : diagnosis"
1474,acanthamoeba keratitis : treatments,acanthamoeba keratitis ,acanthamoeba keratitis . he says treatment aims to eradicate trophozoite and cystic forms .
1475,synostosis : general,synostosis is the most common disease in the world .,synostosis . physiological physiology : causes . causes : physiologies . cause : symptoms
1476,dyspareunia : treatments,dyspareunia is a chronic disease . it is,intercourse pain : treatments - treatments : treatment : interventions : prevention : diagnosis . experts: treatments for pain with intercourse
1477,wernicke encephalopathy : treatments,wernicke encephalopathy is the treatment of . .,parenteral thiamine administration : treatments . edema syndrome : treatment physiology : diagnosis
1478,cortical blindness : general,cortical blindness : a symptom . .,anton–babinski syndrome : physiology . occipital cortex : symptoms : causes
1479,essential thrombocythemia : general,essential thrombocythemia : a diagnosis .,essential thrombocythemia . et is a rare chronic blood cancer . it is characterized by a neoplasmic sclerosis .
1480,noise-induced hearing loss : symptoms,noise-induced hearing loss . symptoms : symptoms of a ,tinnitus : physiology : symptoms : causes . socio-economic status of hearing loss : treatments
1481,viral disease : treatments,viral disease is a common disease . there are a number of,viral disease : detection : treatments . physiology : diagnostics - treatments : prevention : diagnosis
1482,anencephaly : symptoms,anencephaly is a chronic disease . symptoms are common ,anencephaly : physiological physiology : treatments . symbiosis : symptoms
1483,wagr syndrome : general,wagr syndrome is a common disorder . it can be diagnosed,"wagr syndrome . causes include childhood obesity and hyperphagia . symptoms include glycemia , apoptosis ."
1484,corneal ulcer : treatments,corneal ulcer is a symptom of a brain injury .,fungal corneal ulcer . acyclovir ointment instilled at least five times a day .
1485,propionic acidemia : treatments,propionic acidemia : treatments for the disease . .,"propionic acidemia : prevention : treatments : interventions : treatment . socioeconomics, physiology"
1486,tetrasomy : causes,tetrasomy : causes of disease . .,full tetrasomy of an individual . he says he has chromosomes in sperm or egg .
1487,skin cancer : physiology,skin cancer . physiology : physiotherapy and physio,melanoma : physiology . squamous metaplasia tumor : symptoms : causes
1488,patent ductus arteriosus : symptoms,patent ductus arteriosus . symptoms of the disease ,dyspnea . symptoms include aorta to pulmonary artery . bronchitis : symptoms
1489,angioedema : diagnosis,angioedema is a rare disease . it can cause,hereditary angioedema . heidiotid arthritis : diagnosis . hepatitis c : symptoms
1490,fibrosis : physiology,fibrosis physiology : physio . .,fibrosis : physiology : causes . socioeconomic factors : mediators : mechanisms physiologic :
1491,paronychia : causes,paronychia : causes of disease . u.,"acrokeratosis paraneoplastica . scaly, erythematous, keratotic rash ."
1492,malignant hyperthermia : prevention,malignant hyperthermia : prevention . click here for more,mh-susceptible patients undergoing general anesthesia . dantrolene : physiology : treatments
