,real_target,QS-Prediction,AS-Prediction
391,psychological refractory period : general,psychological refractory period : a recurrent period ,psychological refractory period : physiology - general : general - physiologic - psychology . san francisco-based research : treatments
392,colorado tick fever : diagnosis,colorado tick fever is the most common symptom in the world,colorado tick fever : symptoms - symptoms . symptoms : diagnosis : treatments . diagnosis: treatments: treatments
393,lactic acidosis : general,lactic acidosis : a common symptom .,"lactic acidosis . he says symptoms include nausea, vomiting, kussmaul breathing . disease : causes"
394,gastric antral vascular ectasia : physiology,gastric antral vascular ectasia : physio,sclerosis : diagnostic physiology : diagnosis physiologic . hepatitis c – a diagnosis
395,extrapulmonary tuberculosis : general,extrapulmonary tuberculosis : a general .,extrapulmonary tuberculosis . hepatitis c : physiology : causes physiologic : symptoms
396,cone dystrophy : physiology,cone dystrophy physiology : physio . .,cone dystrophy : physiology : causes . hepatitis c : symptoms : diagnosis
397,chondroma : diagnosis,chondroma : diagnosis . hepatitis,enchondroma : definition : classification . esophageal chondriac : diagnosis
398,glycogen storage disease type ii : symptoms,glycogen storage disease type ii . symptoms are not uncommon ,newborn the infantile form . symptoms include floppy baby appearance and hepatomegaly . symptomatic symptoms : symptoms
399,balantidiasis : symptoms,balantidiasis symptoms : symptoms of a coma,intestinal mucosa . symptoms include diarrhea or constipation . bowel syndrome : symptoms . diagnosis : diagnosis 
400,holocarboxylase synthetase deficiency : diagnosis,holocarboxylase synthetase defic,holocarboxylase synthetase deficiency . he says symptoms can cause coma .
401,ergotism : general,ergotism is the most common disease in the world .,long-term ergot poisoning . ergotoxicosis : physiology : causes . causes : treatments
402,meigs' syndrome : treatments,[{'summary_text': "meigs' syndrome is a chronic disease . it is"}],[{'summary_text': "meigs' syndrome . treatment consists of thoracentesis . oophorectomy : treatments"}]
403,tularemia : causes,tularemia is the cause of a coma .,francisella tularensis . hepatitis c : physiology : causes . causes
404,dextrocardia : treatments,dextrocardia is a chronic disease . it,dextrocardia : physiology - diagnosis : diagnosis . physiologic ecg leads : orthology
405,rumination syndrome : causes,rumination syndrome : causes of . a .,"rumination syndrome . causes of symptoms include over-stimulation from parents . symptoms include depression , depression and depression . physiology"
406,myxoma : symptoms,myxoma symptoms : symptoms . eli,pedunculated myxoma . symptoms include dyspnea on exertion paroxysmal nocturnal dyspnosis .
407,mitral insufficiency : symptoms,mitral insufficiency symptoms : symptoms . .,"congestive heart failure . symptoms include fatigue, shortness of breath . systolic tachycardia ."
408,hereditary spastic paraplegia : treatments,hereditary spastic paraplegia : treatments .,hsp : treatments physiology - treatments - physiotherapy - interventions . physiologic symbiosis . treatments
409,transfusion-related acute lung injury : physiology,transfusion-related acute lung injury : physiology and physio,trali : risk : physiology : causes . socio-political fibrosis : symptoms
410,proctocolitis : general,proctocolitis is a serious disease . it can cause,proctocolitis . general . term . : physiology . : symptoms : treatments
411,head and neck cancer : causes,head and neck cancer are the causes of a coma .,head and neck cancer : physiology : prevention : treatments for cancer - treatments : interventions . consultant: prevention
412,subclavian steal syndrome : physiology,subclavian steal syndrome : physiology . .,sss : physiology : symptoms : causes . hepatitis c : treatments
413,schistosoma japonicum : prevention,schistosoma japonicum : prevention .,schistosomiasis : physiology - prevention : treatments . experts: treatments to treat scoliosomia : prevention
414,cutaneous leishmaniasis : symptoms,cutaneous leishmaniasis . symptoms : symptoms .,post kala-azar dermal leishmaniasis : physiology : diagnosis . physiologic leid arthritis : treatments
415,coagulopathy : treatments,coagulopathy is a treatment for a symptom . ,coagulopathy : treatments physiology - treatments - physiotherapy - interventions . socio-political vascular disease : treatment
416,abusive head trauma : physiology,abusive head trauma . physiology : physiotherapy .,traumatic shaking of a baby : physiology : causes . skeptics say shaking of baby aht is dangerous and fatal . he says it can be fatal if he or she is shaken .
